feedback_id,date,feedback,sentiment
fb_0000,2025-09-26 05:06:01.026996,"The new update is fine, no major changes.",Neutral
fb_0001,2025-05-10 19:06:01.026996,The customer service was excellent!,Positive
fb_0002,2025-04-16 03:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0003,2025-10-19 22:06:01.026996,The website is #awful and slow.,Negative
fb_0004,2025-02-06 03:06:01.026996,"Great experience, will buy again.",Positive
fb_0005,2025-08-27 23:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0006,2025-08-17 19:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative
fb_0007,2024-12-01 02:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0008,2025-07-27 18:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0009,2025-06-27 02:06:01.026996,Product broke after one use. ##TERRIBLE,Negative
fb_0010,2025-01-15 05:06:01.026996,I haven't used the support team yet.,Neutral
fb_0011,2025-01-02 11:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0012,2025-02-23 03:06:01.026996,The website is #awful and slow.,Negative
fb_0013,2024-12-04 18:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0014,2025-09-14 16:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0015,2025-08-24 09:06:01.026996,My order arrived late and was damaged.,Negative
fb_0016,2025-06-07 06:06:01.026996,"Great experience, will buy again.",Positive
fb_0017,2025-10-25 14:06:01.026996,The customer service was excellent!,Positive
fb_0018,2025-04-18 23:06:01.026996,I am very unhappy with the support team.,Negative
fb_0019,2025-01-05 11:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0020,2024-12-03 00:06:01.026996,I haven't used the support team yet.,Neutral
fb_0021,2025-04-09 12:06:01.026996,I am very unhappy with the support team.,Negative
fb_0022,2025-07-20 04:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0023,2025-08-14 04:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0024,2025-08-30 13:06:01.026996,My order arrived late and was damaged.,Negative
fb_0025,2025-01-26 20:06:01.026996,"Great experience, will buy again.",Positive
fb_0026,2025-08-20 01:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0027,2024-11-17 12:06:01.026996,Product broke after one use. ##TERRIBLE,Negative
fb_0028,2024-11-05 21:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0029,2025-08-18 15:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0030,2024-11-10 04:06:01.026996,"The new update is fine, no major changes.",Neutral
fb_0031,2025-04-27 00:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0032,2025-02-13 11:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0033,2025-10-29 06:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative
fb_0034,2024-11-13 03:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0035,2025-10-13 01:06:01.026996,"Great experience, will buy again.",Positive
fb_0036,2025-10-12 03:06:01.026996,My order arrived late and was damaged.,Negative
fb_0037,2025-01-31 19:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0038,2025-10-12 20:06:01.026996,,Positive
fb_0039,2025-06-18 23:06:01.026996,,Negative
fb_0040,2025-09-10 16:06:01.026996,The price is fair for what you get.,Neutral
fb_0041,2025-06-29 04:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0042,2024-10-30 20:06:01.026996,My order arrived late and was damaged.,Negative
fb_0043,2024-11-08 05:06:01.026996,The customer service was excellent!,Positive
fb_0044,2025-06-05 20:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0045,2025-09-08 10:06:01.026996,Product broke after one use. ##TERRIBLE,Negative
fb_0046,2025-10-10 16:06:01.026996,"Great experience, will buy again.",Positive
fb_0047,2025-07-08 10:06:01.026996,"Great experience, will buy again.",Positive
fb_0048,2025-01-22 12:06:01.026996,My order arrived late and was damaged.,Negative
fb_0049,2025-03-09 15:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0050,2025-02-12 07:06:01.026996,"The new update is fine, no major changes.",Neutral
fb_0051,2024-12-20 09:06:01.026996,,Negative
fb_0052,2025-02-06 15:06:01.026996,"I love this product, it works perfectly.",Positive
fb_0053,2025-06-19 08:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0054,2025-01-19 14:06:01.026996,I am very unhappy with the support team.,Negative
fb_0055,2025-08-11 05:06:01.026996,The customer service was excellent!,Positive
fb_0056,2025-09-21 10:06:01.026996,The customer service was excellent!,Positive
fb_0057,2025-10-06 04:06:01.026996,My order arrived late and was damaged.,Negative
fb_0058,2025-09-15 11:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0059,2025-01-11 12:06:01.026996,The customer service was excellent!,Positive
fb_0060,2024-11-17 20:06:01.026996,Shipping time was average.,Neutral
fb_0061,2025-08-29 14:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0062,2025-06-02 23:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0063,2024-11-14 04:06:01.026996,The website is #awful and slow.,Negative
fb_0064,2025-05-14 01:06:01.026996,The app is so easy to use and very fast.,Positive
fb_0065,2025-07-11 19:06:01.026996,Very satisfied with the quick delivery.,Positive
fb_0066,2025-07-22 11:06:01.026996,My order arrived late and was damaged.,Negative
fb_0067,2024-11-21 01:06:01.026996,"Great experience, will buy again.",Positive
fb_0068,2024-11-14 03:06:01.026996,"Great experience, will buy again.",Positive
fb_0069,2025-06-23 08:06:01.026996,"Can't find what I'm looking for, navigation is confusing.",Negative
